Wang_2004	Marchive_2013_20min	HN_induced_Widiez_2011	Alvarez_2020_NLP7RegulatedGenes	Alvarez_2019_CinetiqueKNO3_2h	Gaudinier_2018_CoreGenes_Review_TFs	Krouk_2010_KNO3
		At5g34840				
		At4g11600				
		At4g15300				
		At3g58100				
		At1g08100				
		At1g14540				
		At2g22860				
		At3g21260				
		At1g18650				
		At5g56870				
		At3g54300				
		At1g64170				
		At5g33300				
		At1g79830				
		At1g66150				
		At4g16563				
		At3g55460				
		At2g39700				
		At1g69830				
		At1g17380				
		At1g09850				
		At1g21100				
		At2g22260				
		At3g26570				
		At1g23710				
		At2g40250				
		At5g05320				
		At4g19680				
		At1g03470				
		At1g52680				
		At2g38310				
		At3g52110				
		At3g46280				
		At3g47780				
		At2g37460				
		At3g54900				
		At1g67810				
		At2g16690				
		At5g51440				
		At3g05040				
		At5g59090				
		At2g36120				
		At5g61790				
		At5g01740				
		At1g04980				
		At4g38340				
		At4g28490				
		At4g27120				
		At4g21990				
		At3g07870				
		At4g38660				
		At1g13930				
		At1g54690				
		At5g49970				
		At1g71140				
		At2g27820				
		At4g22640				
		At1g49260				
		At1g21830				
		At3g42725				
		At3g07540				
		At3g01640				
		At1g51840				
		At2g14860				
		At1g79450				
		At3g23400				
		At2g45490				
		At5g64410				
		At5g65210				
		At4g02380				
		At3g47960				
		At5g50180				
		At2g38400				
		At5g25770				
		At4g27900				
		At4g28710				
		At2g25450				
		At1g69530				
		At5g54040				
		At3g23670				
		At5g62310				
		At2g40640				
		At1g47400				
		At4g38220				
		At4g18080				
		At2g17050				
		At2g19970				
		At5g23760				
		At3g01810				
		At4g25010				
		At5g44460				
		At3g59340				
		At5g40490				
		At5g15130				
		At5g20710				
		At4g18950				
		At5g53880				
		At5g57620				
		At5g60930				
		At4g37050				
		At5g14920				
		At2g17880				
		At4g36670				
		At3g61160				
		At4g14060				
		At3g48440				
		At5g24870				
		At4g24190				
		At1g71870				
		At2g01850				
		At2g06850				
		At3g28900				
		At1g76740				
		At4g08300				
		At4g14680				
		At3g50060				
		At4g19960				
		At1g44050				
		At4g15360				
		At5g06740				
		At2g20740				
		At4g25760				
		At1g44120				
		At3g18160				
		At1g79590				
		At3g13950				
		At4g25260				
		At2g02090				
		At1g16510				
		At5g15860				
		At1g10200				
		At1g76380				
		At5g49480				
		At4g04990				
		At5g22920				
		At3g52900				
		At1g26420				
		At4g34710				
		At5g54930				
		At1g77610				
		At4g31470				
		At4g39490				
		At5g16570				
		At3g15950				
		At1g25520				
		At3g02120				
		At3g10740				
		At3g54120				
		At5g35940				
		At4g13100				
		At5g24590				
		At3g54200				
		At4g40030				
		At4g03560				
		At4g13430				
		At1g18870				
		At2g33330				
		At2g25110				
		At2g32150				
		At2g44830				
		At5g57390				
		At1g29180				
		At2g44060				
		At5g19240				
		At2g47260				
		At2g20160				
		At3g10250				
		At5g65640				
		At5g48000				
		At1g02810				
		At1g61820				
		At5g47080				
		At5g60280				
		At2g24280				
		At4g03500				
		At5g14940				
		At2g42910				
		At5g47420				
		At5g64460				
		At2g27170				
		At1g32690				
		At2g45750				
		At3g49690				
		At1g48600				
		At4g04940				
		At1g80240				
		At4g20210				
		At2g24160				
		At5g11070				
		At4g35310				
		At5g51520				
		At3g15400				
		At1g22930				
		At3g12500				
		At5g24380				
		At3g42380				
		At3g15710				
		At3g45160				
		At2g20850				
		At2g47490				
		At5g35460				
		At1g07700				
		At1g67980				
		At1g73650				
		At4g30650				
		At4g25250				
		At1g52050				
		At2g37130				
		At1g48930				
		At5g49710				
		At3g18000				
		At5g09300				
		At5g53120				
		At3g11630				
		At5g04560				
		At1g05060				
		At4g37800				
		At1g21370				
		At1g35140				
		At1g63950				
		At3g20370				
		At1g79150				
		At5g65700				
		At3g23230				
		At1g20630				
		At2g43550				
		At3g16240				
		At2g38360				
		At5g45550				
		At5g22530				
		At4g31800				
		At4g32040				
		At4g23700				
		At1g51680				
		At1g19310				
		At4g25220				
		At5g38020				
		At1g70410				
		At5g65040				
		At2g28460				
		At1g25240				
		At4g24620				
		At5g64940				
		At4g37300				
		At5g17230				
		At2g04050				
		At5g06270				
		At1g09070				
		At5g48880				
		At4g01440				
		At2g15230				
		At4g31875				
		At5g24340				
		At1g10380				
		At3g51720				
		At1g47330				
		At4g08850				
		At5g64890				
		At2g36910				
		At2g45210				
		At2g38920				
		At3g01350				
		At4g22610				
		At1g11840				
		At1g14670				
		At3g14050				
		At5g45380				
		At1g01720				
		At1g16260				
		At2g25060				
		At1g26330				
		At5g48250				
		At5g58600				
		At5g41050				
		At3g03910				
		At5g09220				
		At2g24060				
		At2g31725				
		At1g25370				
		At4g27410				
		At2g15760				
		At5g61210				
		At3g10420				
		At3g01160				
		At5g07440				
		At5g13110				
		At4g33070				
		At5g02020				
		At3g26230				
		At1g68500				
		At2g36570				
		At3g63260				
		At3g56510				
		At3g11670				
		At1g54740				
		At5g53830				
		At3g50350				
		At1g25550				
		At3g13920				
		At1g63560				
		At5g58300				
		At5g14700				
		At3g19500				
		At1g04680				
		At5g66650				
		At4g39840				
		At5g60990				
		At5g62550				
		At3g62650				
		At3g55890				
		AtCg00820				
		At1g07050				
		At4g36830				
		At5g49780				
		At1g26665				
		At1g70420				
		At1g73930				
		At1g12780				
		At2g37870				
		At3g25655				
		At3g47420				
		At4g24670				
		At4g34180				
		At1g21310				
		At4g26970				
		At2g16060				
		At4g19640				
		At2g22570				
		At1g51270				
		At1g76520				
		At5g06330				
		At1g50600				
		At2g37980				
		At1g79410				
		At1g20620				
		At3g27300				
		At1g31650				
		At3g24170				
		At4g18700				
		At4g02410				
		At5g57110				
		At1g78360				
		At1g79320				
		At4g13010				
		At2g35020				
		At3g43040				
		At5g16720				
		At3g10520				
		At3g61590				
		At1g78960				
		At3g62780				
		At4g17940				
		At5g18590				
		At3g53190				
		At4g32250				
		At3g47730				
		At2g39220				
		At1g29050				
		At1g17090				
		At5g24800				
		At3g06500				
		At5g07680				
		At3g04810				
		At2g44065				
		At3g15010				
		At3g46130				
		At4g05330				
		At5g62340				
		At1g06400				
		At3g05900				
		At1g76930				
		At5g17030				
		At5g35735				
		At2g31190				
		At5g63790				
		At3g15450				
		At1g05900				
		At1g28260				
		At5g38530				
		At1g30900				
		At1g54110				
		At1g16530				
		At1g66540				
		At3g59020				
		At5g43150				
		At5g57350				
		At5g53990				
		At2g15620				
		At1g21210				
		At2g41800				
		At3g48880				
		At1g68410				
		At4g38080				
		At2g19060				
		At2g25360				
		At5g23820				
		At3g04070				
		At3g48350				
		At5g49650				
		At5g09530				
		At5g35770				
		At5g56630				
		At4g37010				
		At3g04630				
		At1g22430				
		At3g18450				
		At4g00360				
		At2g01530				
		At3g54150				
		At1g12010				
		At5g66690				
		At3g02850				
		At3g45600				
		At1g10500				
		At4g35230				
		At1g20693				
		At1g05710				
		At1g74010				
		At5g64080				
		At5g40930				
		At1g76600				
		At5g54960				
		At1g56680				
		At5g39410				
		At1g22670				
		At1g64960				
		At2g22420				
		At2g23540				
		At3g27060				
		At5g55200				
		At5g37740				
		At3g47670				
		At2g14880				
		At5g58350				
		At3g02460				
		At5g66640				
		At5g41670				
		At5g18250				
		At1g11530				
		At1g09415				
		At3g55520				
		At1g30650				
		At4g38460				
		At1g21750				
		At1g01650				
		At5g11510				
		At5g64840				
		At1g49310				
		At3g23000				
		At4g30320				
		At3g09735				
		At2g25160				
		At1g67360				
		At5g44350				
		At2g33850				
		At1g06570				
		At1g01470				
		At5g13100				
		At1g68160				
		At5g24610				
		At1g50060				
		At2g25690				
		At5g46790				
		At5g18280				
		At3g19370				
		At4g12420				
		At2g35450				
		At2g16270				
		At1g21200				
		At4g30660				
		At5g06730				
		At3g54820				
		At2g17130				
		At4g09420				
		At4g20890				
		At3g16530				
		At5g02230				
		At5g46730				
		At3g20015				
		At2g04040				
		At5g47880				
		At5g27470				
		At5g53110				
		At1g30760				
		At5g35370				
		At1g75780				
		At1g51890				
		At5g62670				
		At1g60470				
		At3g04480				
		At1g15170				
		At5g07800				
		At5g22890				
		At5g62900				
		At5g03490				
		At5g43000				
		At5g43450				
		At2g24100				
		At5g04950				
		At5g59930				
		At4g38420				
		At4g28040				
		At2g36390				
		At1g15640				
		At3g03060				
		At5g64150				
		At5g12880				
		At2g44360				
		At1g77330				
		At1g67920				
		At2g25980				
		At4g19000				
		At5g06630				
		At2g42070				
		At1g73760				
		At2g43590				
		At5g48480				
		At4g37320				
		At5g41580				
		At2g01760				
		At2g38600				
		At3g01470				
		At5g17650				
		At2g40280				
		At5g19260				
		At3g10450				
		At4g27130				
		At5g67030				
		At2g07180				
		At1g30840				
		At5g65020				
		At4g21350				
		At1g23000				
		At1g13300				
		At1g72180				
		At5g16240				
		At3g48170				
		At3g15630				
		At5g20240				
		At3g13040				
		At4g34460				
		At5g05960				
		At1g77840				
		At3g54260				
		At5g47000				
		At1g19450				
		At1g07570				
		At5g43980				
		At5g27330				
		At4g17340				
		At5g39950				
		At1g60850				
		At3g20820				
		At4g15340				
		At1g69790				
		At1g28290				
		At5g20880				
		At3g04780				
		At3g59350				
		At4g15400				
		At4g33010				
		At3g56310				
		At2g39380				
		At1g23020				
		At2g22610				
		At4g16330				
		At5g38160				
		At5g19370				
		At5g61640				
		At3g49780				
		At2g16720				
		At5g37680				
		At1g25500				
		At5g06200				
		At3g49720				
		At3g51950				
		At3g52360				
		At2g19350				
		At5g27410				
		At5g65930				
		At4g01730				
		At5g46700				
		At4g13390				
		At2g17975				
		At1g54030				
		At4g08685				
		At1g02130				
		At3g20410				
		At1g55450				
		At2g30680				
		At1g67760				
		At1g14720				
		At4g29900				
		At5g11320				
		At4g21780				
		At2g36330				
		At5g11670				
		At2g31860				
		At5g65790				
		At3g48020				
		At5g03610				
		At2g20520				
		At3g62370				
		At4g23010				
		At1g17170				
		At2g01570				
		At1g35580				
		At3g17790				
		At3g05520				
		At1g74370				
		At1g32410				
		At1g03850				
		At2g33790				
		At1g67070				
		At2g21640				
		At2g38530				
		At2g43100				
		At5g07250				
		At5g27170				
		At1g24440				
		At3g43230				
		At5g11260				
		At5g26260				
		At5g45090				
		At2g31110				
		At2g34710				
		At3g51440				
		At5g62390				
		At4g35750				
		At3g19890				
		At1g72700				
		At2g04350				
		At2g20610				
		At2g38300				
		At5g56340				
		At3g49160				
		At5g09890				
		At5g08640				
		At2g38820				
		At4g35300				
		At2g33000				
		At2g23300				
		At1g64780				
		At1g61340				
		At3g08710				
		At1g79440				
		At2g45920				
		At5g57530				
		At5g15830				
		At3g05800				
		At2g14750				
		At1g62930				
		At1g64190				
		At1g23790				
		At2g17220				
		At5g01220				
		At1g29020				
		At1g33590				
		At5g59530				
		At1g01490				
		At1g56300				
		At1g54410				
		At1g76040				
		At2g04800				
		At3g10880				
		At4g37450				
		At1g78780				
		At1g12330				
		At3g13175				
		At1g65510				
		At2g34470				
		At2g02800				
		At2g39050				
		At3g06170				
		At5g63840				
		At2g25730				
		At1g62810				
		At2g47000				
		At5g09290				
		At1g20270				
		At3g46730				
		At2g46600				
		At2g24600				
		At5g53590				
		At2g29990				
		At1g76140				
		At1g27760				
		At2g28400				
		At4g28150				
		At2g17710				
		At4g14630				
		At4g33510				
		At3g02440				
		At3g11430				
		At2g33830				
		At5g37310				
		At1g19920				
		At5g09570				
		At1g21000				
		At2g28960				
		At5g40170				
		At5g44930				
		At5g57785				
		At4g30000				
		At3g02880				
		At3g16470				
		At1g80520				
		At1g64040				
		At3g16150				
		At4g05190				
		At5g22390				
		At2g45220				
		At4g22730				
		At1g44770				
		At1g16670				
		At3g54090				
		At4g00430				
		At4g23630				
		At5g03860				
		At1g14340				
		At3g05360				
		At2g43500				
		At3g24480				
		At1g09840				
		At3g29760				
		At4g27940				
		At2g28890				
		At4g16360				
		At3g53420				
		At4g13195				
		At1g63530				
		At1g05000				
		At1g08430				
		At1g63440				
		At1g04120				
		At5g39520				
		At3g09810				
		At1g69690				
		At5g23530				
		At1g17480				
		At3g46630				
		At3g55430				
		At3g25790				
		At5g26340				
		At5g58860				
		At5g47450				
		At3g11840				
		At2g39690				
		At5g13420				
		At5g66530				
		At2g25270				
		At1g04220				
		At1g56700				
		At1g26470				
		At1g48790				
		At3g62770				
		At2g16520				
		At5g64680				
		At1g08315				
		At5g08130				
		At3g51860				
		At2g18290				
		At1g55265				
		At2g34490				
		At1g28150				
		At5g64850				
		At2g41730				
		At5g06720				
		At5g57630				
		At4g30110				
		At5g56080				
		At4g29330				
		At5g13470				
		At1g21360				
		At5g05500				
		At1g68220				
		At5g66630				
		At4g25240				
		At3g13570				
		At1g19710				
		At5g14220				
		At2g44610				
		At5g51570				
		At1g17020				
		At1g22050				
		At5g44920				
		At3g10530				
		At1g80830				
		At3g21560				
		At1g67750				
		At2g14210				
		At2g36130				
		At3g20960				
		At3g47980				
		At2g35840				
		At5g54510				
		At4g01140				
		At4g27657				
		At4g26850				
		At4g23920				
		At2g36460				
		At3g42460				
		At3g27200				
		At1g66140				
		At1g55410				
		At3g15580				
		At3g44620				
		At1g18850				
		At4g23690				
		At5g02100				
		At1g20640				
		At2g47200				
		At2g17060				
		At2g39330				
		At1g58180				
		At5g02490				
		At3g52870				
		At4g12480				
		At5g43600				
		At1g64070				
		At5g47620				
		At2g43140				
		At3g02320				
		At3g55390				
		At5g51460				
		At1g62045				
		At3g47500				
		At1g21590				
		At4g22110				
		At5g06700				
		At3g25930				
		At3g12955				
		At5g52870				
		At2g40120				
		At4g35920				
		At1g70500				
		At3g01260				
		At5g56540				
		At1g07880				
		At3g20300				
		At2g06925				
		At2g23030				
		At5g01910				
		At4g20110				
		At3g26330				
		At1g68540				
		At4g17870				
		At4g01430				
		At1g61550				
		At4g33660				
		At1g51850				
		At5g19870				
		At3g28500				
		At4g00895				
		At1g32460				
		At3g57090				
		At3g19930				
		At3g50880				
		At2g23910				
		At5g07310				
		At2g17750				
		At1g13110				
		At5g40510				
		At1g29400				
		At3g44550				
		At2g18470				
		At3g50910				
		At3g61630				
		At2g29650				
		At5g01410				
		At5g66710				
		At4g20070				
		At1g28390				
		At3g44340				
		At5g03760				
		At5g52050				
		At1g62320				
		At4g11360				
		At1g30510				
		At3g62600				
		At2g21130				
		At3g26220				
		At4g02120				
		At4g32650				
		At5g48430				
		At4g03760				
		At3g09220				
		At5g15090				
		At5g06980				
		At1g52200				
		At5g19690				
		At2g15390				
		At1g11680				
		At5g38710				
		At2g37580				
		At3g15720				
		At4g18340				
		At4g29020				
		At3g14360				
		At5g24290				
		At1g07560				
		At4g09020				
		At2g37940				
		At3g25585				
		At5g51630				
		At5g50760				
		At1g14240				
		At4g23680				
		At4g00780				
		At5g49800				
		At2g44490				
		At3g25640				
		At4g32940				
		At1g21050				
		At2g21210				
		At5g25460				
		At4g05390				
		At2g38550				
		At4g23496				
		At1g52600				
		At3g53310				
		At2g46380				
		At1g36640				
		At5g17760				
		At3g22890				
		At3g29075				
		At5g14640				
		At5g49770				
		At2g22240				
		At3g23080				
		At1g52190				
		At1g63650				
		At4g31910				
		At5g62350				
		At3g18560				
		At1g49720				
		At5g03670				
		At1g47960				
		At3g58760				
		At2g03360				
		At1g78490				
		At3g12800				
		At3g44820				
		At5g52160				
		At1g53885				
		At3g47800				
		At5g09420				
		At2g40840				
		At4g09930				
		At3g61820				
		At1g72250				
		At3g60840				
		At5g47160				
		At2g27510				
		At4g34260				
		At2g35790				
		At4g37150				
		At2g48080				
		At2g30670				
		At5g29040				
		At5g49900				
		At4g17530				
		At1g56500				
		At1g23040				
		At3g20040				
		At5g10900				
		At5g17040				
		At1g59590				
		At4g34220				
		At4g23510				
		At3g15090				
		At2g46650				
		At1g74920				
		At1g70070				
		At4g10500				
		At5g48485				
		At2g23120				
		At1g70520				
		At5g23220				
		At1g37130				
		At5g60100				
		At2g38610				
		At3g45490				
		At5g43690				
		At5g10180				
		At2g33070				
		At4g17615				
		At5g48300				
		At1g17060				
		At1g24190				
		At1g72360				
		At4g24610				
		At4g36140				
		At1g77990				
		At1g28330				
		At3g13050				
		At3g43430				
		At1g73170				
		At5g24310				
		At1g03620				
		At1g19960				
		At1g24280				
		At1g27510				
		At1g62380				
		At1g09100				
		At5g64380				
		At1g78660				
		At1g01070				
		At3g50920				
		At3g23730				
		At1g78580				
		At5g57655				
		At5g64630				
		At1g27980				
		At3g13170				
		At3g63010				
		At1g18910				
		At4g25720				
		At2g40220				
		At2g26820				
		At5g01750				
		At4g37330				
		At5g43020				
		At4g13160				
		At1g08930				
		At1g20030				
		At3g18830				
		At2g39280				
		At1g33055				
		At3g47560				
		At5g15420				
		AtCg00040				
		At1g74360				
		At3g13450				
		At1g73330				
		At4g35040				
		At4g30170				
		At4g34860				
		At5g11040				
		At5g40470				
		At2g31800				
		At1g18670				
		At5g22640				
		At1g31200				
		At4g37910				
		At5g57220				
		At4g35110				
		At1g01190				
		At3g13784				
		At5g47760				
		At2g44480				
		At1g74460				
		At3g52500				
		At1g78090				
		At1g30110				
		At3g04520				
		At3g17365				
		At2g19500				
		At3g11460				
		At3g15300				
		At4g25030				
		At1g68150				
		At4g38580				
		At5g06280				
		At3g60280				
		At5g62680				
		At3g63380				
		At5g24850				
		At5g37600				
		At2g44370				
		At3g14840				
		At3g10720				
		At1g20840				
		At5g10030				
		At5g26570				
		At1g44510				
		At4g19810				
		At1g76350				
		At2g46220				
		At5g23010				
		At3g07680				
		At2g13650				
		At1g18570				
		At3g54640				
		At1g17180				
		At4g18280				
		At2g16710				
		At2g47070				
		At1g10570				
		At2g47950				
		At4g11220				
		At4g33730				
		At5g44760				
		At2g16570				
		At1g55910				
		At1g09390				
		At3g29575				
		At3g58610				
		At1g30820				
		At5g04120				
		At2g15830				
		At5g06300				
		At2g36870				
		At5g55860				
		At4g11770				
		At1g49160				
		At2g39040				
		At3g51920				
		At3g61040				
		At3g15190				
		At4g16660				
		At5g57700				
		At3g26740				
		At1g69410				
		At3g15357				
		At1g78370				
		At2g16990				
		At3g02290				
		At2g19540				
		At5g66460				
		At1g61810				
		At1g30000				
		At5g01610				
		At1g12950				
		At5g59450				
		At5g26200				
		At5g56350				
		At3g55120				
		At4g10360				
		At2g32920				
		At4g17510				
		At3g54950				
		At5g61380				
		At1g53300				
		At5g03380				
		At5g53310				
		At1g34750				
		At3g12320				
		At5g43830				
		At1g06460				
		At2g23760				
		At1g43130				
		At3g61260				
		At4g04830				
		At2g43710				
		At3g18710				
		At3g06280				
		At2g29700				
		At5g58375				
		At3g20790				
		At3g15460				
		At3g48810				
		At1g24430				
		At1g10090				
		At4g04950				
		At1g42480				
		At3g05220				
		At5g61420				
		AtMg00600				
		At5g51180				
		At3g17100				
		At5g04840				
		At5g08360				
		At4g39780				
		At4g38470				
		At2g41220				
		At3g44630				
		At1g66230				
		At3g17410				
		At2g35270				
		At4g34090				
		At3g52560				
		At5g01820				
		At5g49160				
		At5g20910				
		At1g47128				
		At5g35190				
		At1g14345				
		At3g20150				
		At5g61350				
		At4g36010				
		At5g01370				
		At2g15960				
		At4g15920				
		At3g04910				
		At2g48030				
		At3g14067				
		At3g47380				
		At5g62165				
		At1g70090				
		At3g27150				
		At3g46440				
		At3g16050				
		At5g14450				
		At5g50920				
		At4g23260				
		At3g23200				
		At3g07720				
		At5g12860				
		At1g02750				
		At5g19090				
		At1g65930				
		At5g14780				
		At1g59720				
		At3g43110				
		At5g14730				
		At5g46910				
		At1g76990				
		At5g64170				
		At1g77460				
		At2g22510				
		At1g17080				
		At5g52330				
		At1g21440				
		At3g51280				
		At3g62260				
		At4g30200				
		At5g58690				
		At3g03720				
		At1g48830				
		At2g19880				
		At4g10840				
		At1g08650				
		At1g26770				
		At5g13180				
		At3g29770				
		At3g19490				
		At3g24200				
		At4g34560				
		At5g11640				
		At1g14710				
		At4g39740				
		At1g52540				
		At3g19530				
		At2g46830				
		At1g28580				
		At4g03060				
		At2g16005				
		At4g31730				
		At2g16640				
		At4g38410				
		At3g02910				
		At1g79380				
		At5g41460				
		At5g66250				
		At1g15380				
		At3g51320				
		At5g57330				
		At2g15310				
