Wang_2004	Marchive_2013_20min	HN_induced_Widiez_2011	Alvarez_2020_NLP7RegulatedGenes	Alvarez_2019_CinetiqueKNO3_2h	Gaudinier_2018_CoreGenes_Review_TFs	Krouk_2010_KNO3
At5g63780	AT5G03610	At4g29270	AT2G39700	AT5G42990		At4g01450
At5g05400	AT3G50260	At3g46970	AT2G39870	AT5G62430		At4g03080
At1g13420	AT4G23215	At1g15550	AT2G41380	AT5G07680		At4g03210
At1g08100	AT1G07400	At4g02860	AT2G41440	AT5G10820		At4g04600
At5g62720	AT2G38340	At5g13730	AT2G41560	AT1G49230		At4g05610
At5g42840	AT1G51760	At1g70710	AT2G41660	AT3G59580		At4g07586
At5g10030	AT1G68620	At5g21060	AT2G41740	AT5G14060		At4g13240
At1g63940	AT3G04410	At1g77280	AT2G41890	AT1G09780		At4g13440
At5g05960	AT5G24200	At1g63350	AT2G42360	AT3G07910		At4g13650
At1g59940	AT5G39180	At4g37870	AT2G42430	AT1G13440		At4g13880
At1g19450	AT5G57510	At3g07470	AT2G43500	AT4G34760		At4g14240
At5g67400	AT2G40740	At4g33550	AT2G44010	AT4G34800		At4g23320
At5g40730	AT2G44080	At4g14020	AT2G44090	AT5G66700		At4g25100
At1g50110	AT1G79320	At5g49280	AT2G44290	AT4G17550		At4g25390
At5g13110	AT1G70170	At4g21580	AT2G44370	AT5G59080		At4g30450
At2g25620	AT5G17860	At5g51500	AT2G44670	AT3G13930		At4g30460
At5g54170	AT2G26740	At3g13520	AT2G46140	AT4G09000		At4g33790
At5g23010	AT2G05940	At1g69880	AT2G46150	AT5G01340		At4g34000
At1g49860	AT1G64170	At1g11080	AT2G46170	AT4G29905		At4g34050
At5g35620	AT2G43060	At4g30520	AT2G47140	AT2G23790		At4g36770
At5g49870	AT5G39580	At5g60770	AT2G47160	AT1G67920		At4g37150
At5g53460	AT1G45145	At5g51390	AT2G47260	AT3G60330		At4g37540
At3g47980	AT1G13110	At3g07910	AT2G47490	AT5G56080		At4g37610
At2g28250	AT1G55170	At1g44800	AT3G01200	AT1G23870		At4g38490
